,id,userId,stockId,groupId,semesterId,timestamp,price
19276,19518,298,8,6,2,2022-09-12 09:52:33,20.0
19277,19519,794,158,9,2,2022-09-12 10:03:17,18.0
19278,19520,9,43,1,2,2022-09-12 10:06:56,19.0
19279,19521,9,43,1,2,2022-09-12 10:06:56,19.0
19280,19522,4,9,1,2,2022-09-12 11:01:27,10.0
19281,19523,5,14,1,2,2022-09-12 11:05:13,18.0
19282,19524,153,8,30,2,2022-09-12 11:08:53,19.0
19283,19525,404,129,19,2,2022-09-12 11:31:54,30.0
19284,19526,794,52,9,2,2022-09-12 11:52:06,19.0
19285,19527,329,78,9,2,2022-09-12 11:58:43,19.0
19286,19528,163,134,19,2,2022-09-12 12:12:09,18.0
19287,19529,91,54,12,2,2022-09-12 12:16:25,19.0
19288,19530,127,134,19,2,2022-09-12 12:20:41,18.0
19289,19531,197,21,11,2,2022-09-12 12:23:27,21.0
19290,19532,96,54,12,2,2022-09-12 12:29:56,19.0
19291,19533,171,8,11,2,2022-09-12 12:46:05,20.0
19292,19534,206,8,8,2,2022-09-12 13:01:43,19.0
19293,19535,114,8,11,2,2022-09-12 13:05:47,20.0
19294,19536,9,7,1,2,2022-09-12 13:19:20,21.0
19295,19537,328,43,24,2,2022-09-12 13:29:52,19.0
19296,19538,286,8,11,2,2022-09-12 13:35:26,20.0
19297,19539,75,181,21,2,2022-09-12 13:36:53,25.0
19298,19540,100,8,11,2,2022-09-12 13:38:22,20.0
19299,19541,89,43,30,2,2022-09-12 13:43:25,19.0
19300,19542,315,8,11,2,2022-09-12 13:44:30,20.0
19301,19543,124,8,11,2,2022-09-12 13:44:51,20.0
19302,19544,314,21,11,2,2022-09-12 13:45:26,21.0
19303,19545,475,8,11,2,2022-09-12 13:45:39,20.0
19304,19546,4,43,1,2,2022-09-12 13:46:11,19.0
19305,19547,183,8,11,2,2022-09-12 13:54:31,20.0
19306,19548,155,54,12,2,2022-09-12 13:57:18,19.0
19307,19549,63,8,6,2,2022-09-12 13:59:33,20.0
19308,19550,794,8,9,2,2022-09-12 14:07:20,19.0
19309,19551,329,78,9,2,2022-09-12 14:22:47,19.0
19310,19552,360,8,11,2,2022-09-12 14:43:52,20.0
19311,19553,197,8,11,2,2022-09-12 14:44:38,20.0
19312,19554,483,54,12,2,2022-09-12 14:53:18,19.0
19313,19555,195,8,11,2,2022-09-12 15:03:10,20.0
19314,19556,314,8,11,2,2022-09-12 15:06:09,20.0
19316,19558,450,78,9,2,2022-09-12 15:08:52,19.0
19317,19559,387,138,19,2,2022-09-12 15:14:33,13.0
19318,19560,6,9,1,2,2022-09-12 15:15:20,10.0
19319,19561,653,8,23,2,2022-09-12 15:16:38,20.0
19320,19562,653,8,23,2,2022-09-12 15:16:38,20.0
19321,19563,794,8,9,2,2022-09-12 15:22:49,19.0
19322,19564,10,14,1,2,2022-09-12 15:29:55,18.0
19323,19565,10,14,1,2,2022-09-12 15:29:55,18.0
